time,volume,open,high,low,close
2023-05-17T10:00:00.000000000Z,825,1.08310,1.08312,1.08270,1.08287
2023-05-17T10:15:00.000000000Z,899,1.08282,1.08328,1.08278,1.08306
2023-05-17T10:30:00.000000000Z,869,1.08308,1.08314,1.08246,1.08276
2023-05-17T10:45:00.000000000Z,797,1.08276,1.08318,1.08268,1.08302
2023-05-17T11:00:00.000000000Z,892,1.08304,1.08328,1.08274,1.08326
2023-05-17T11:15:00.000000000Z,938,1.08324,1.08392,1.08315,1.08379
2023-05-17T11:30:00.000000000Z,889,1.08379,1.08415,1.08368,1.08408
2023-05-17T11:45:00.000000000Z,1322,1.08408,1.08417,1.08250,1.08252
2023-05-17T12:00:00.000000000Z,1127,1.08252,1.08308,1.08246,1.08282
2023-05-17T12:15:00.000000000Z,1128,1.08282,1.08318,1.08269,1.08269
2023-05-17T12:30:00.000000000Z,1530,1.08268,1.08290,1.08134,1.08197
2023-05-17T12:45:00.000000000Z,1629,1.08197,1.08314,1.08161,1.08240
2023-05-17T13:00:00.000000000Z,1953,1.08240,1.08390,1.08238,1.08341
2023-05-17T13:15:00.000000000Z,1395,1.08339,1.08364,1.08308,1.08308
2023-05-17T13:30:00.000000000Z,1850,1.08307,1.08312,1.08188,1.08226
2023-05-17T13:45:00.000000000Z,1633,1.08229,1.08234,1.08150,1.08156
2023-05-17T14:00:00.000000000Z,2075,1.08156,1.08194,1.08102,1.08190
2023-05-17T14:15:00.000000000Z,1602,1.08192,1.08302,1.08180,1.08297
2023-05-17T14:30:00.000000000Z,1516,1.08298,1.08330,1.08224,1.08293
2023-05-17T14:45:00.000000000Z,1880,1.08294,1.08294,1.08197,1.08207
2023-05-17T15:00:00.000000000Z,1539,1.08208,1.08232,1.08178,1.08222
2023-05-17T15:15:00.000000000Z,1556,1.08222,1.08300,1.08218,1.08276
2023-05-17T15:30:00.000000000Z,1254,1.08276,1.08335,1.08262,1.08334
2023-05-17T15:45:00.000000000Z,1302,1.08335,1.08363,1.08272,1.08294
2023-05-17T16:00:00.000000000Z,909,1.08295,1.08348,1.08290,1.08342
2023-05-17T16:15:00.000000000Z,754,1.08341,1.08344,1.08303,1.08338
2023-05-17T16:30:00.000000000Z,766,1.08337,1.08404,1.08334,1.08403
2023-05-17T16:45:00.000000000Z,986,1.08404,1.08454,1.08398,1.08420
2023-05-17T17:00:00.000000000Z,914,1.08422,1.08479,1.08418,1.08468
2023-05-17T17:15:00.000000000Z,776,1.08470,1.08470,1.08417,1.08444
