time,volume,open,high,low,close,instrument,granularity,RSI,MACD,Signal_Line,Histogram,BollingerBands_middle,BollingerBands_std,ATR,ADX,OBV
2023-07-04 00:35:00+00:00,61,1.26946,1.26962,1.26945,1.26955,GBP_USD,M1,57.303370786517974,4.3017631337294304e-05,1.226575331168658e-05,3.075187802560772e-05,1.2693105,0.00012309495663260313,0.00010285714285718228,33.29007765080516,-6816
2023-07-04 00:36:00+00:00,28,1.26954,1.2696,1.26953,1.26954,GBP_USD,M1,63.749999999998266,5.432787060488664e-05,2.0678176770326595e-05,3.3649693834560047e-05,1.2693175,0.00013210342810355204,9.928571428576203e-05,31.97535821464137,-6844
2023-07-04 00:37:00+00:00,40,1.26954,1.26962,1.2695,1.26956,GBP_USD,M1,77.94117647060024,6.416548973930958e-05,2.937563936412319e-05,3.478985037518639e-05,1.2693255,0.0001418477684026733,9.500000000003553e-05,32.17016340944485,-6804
2023-07-04 00:38:00+00:00,48,1.26958,1.2696,1.26952,1.26953,GBP_USD,M1,81.53846153847205,6.874863305261769e-05,3.72502381018221e-05,3.1498394950795595e-05,1.269335,0.0001490496205989729,9.357142857145475e-05,33.3036400559183,-6852
2023-07-04 00:39:00+00:00,40,1.26954,1.26966,1.26952,1.26966,GBP_USD,M1,83.33333333334362,8.19263250153579e-05,4.6185455484529264e-05,3.574086953082864e-05,1.2693535,0.00016525180126555073,9.857142857145578e-05,33.94403414458627,-6812
2023-07-04 00:40:00+00:00,24,1.26966,1.26966,1.26963,1.26966,GBP_USD,M1,83.33333333334362,9.131709421694723e-05,5.521178323101286e-05,3.6105310985934366e-05,1.2693664999999998,0.0001787758076482655,9.928571428573032e-05,35.73601409445795,-6836
2023-07-04 00:41:00+00:00,39,1.26966,1.26976,1.26966,1.26975,GBP_USD,M1,90.78947368420707,0.00010481337100776145,6.513210078636259e-05,3.968127022139886e-05,1.269383,0.00019815198826331873,0.00010214285714287603,38.82808083918582,-6797
2023-07-04 00:42:00+00:00,19,1.26975,1.26976,1.26974,1.26974,GBP_USD,M1,88.88888888890602,0.00011339520187214625,7.478472100351932e-05,3.8610480868626925e-05,1.269404,0.00021283549350270607,9.500000000000381e-05,42.18875525249123,-6816
2023-07-04 00:43:00+00:00,28,1.26974,1.26985,1.26974,1.26984,GBP_USD,M1,89.04109589042888,0.0001268038134967231,8.518853950216008e-05,4.1615273994563014e-05,1.269437,0.00022697321875267163,9.571428571427834e-05,46.45512323945534,-6788
2023-07-04 00:44:00+00:00,69,1.26984,1.26991,1.26978,1.26978,GBP_USD,M1,85.5263157894683,0.00013107775350462703,9.436638230265347e-05,3.671137120197356e-05,1.2694699999999999,0.0002264369319165189,0.00010142857142858563,50.20137698570898,-6857
2023-07-04 00:45:00+00:00,74,1.26978,1.26984,1.26976,1.26983,GBP_USD,M1,84.50704225351804,0.00013692112241669996,0.00010287733032546277,3.404379209123719e-05,1.2695025,0.0002292522167224826,9.857142857143992e-05,53.97984489461412,-6783
2023-07-04 00:46:00+00:00,78,1.26984,1.26998,1.26984,1.26994,GBP_USD,M1,86.58536585365623,0.00014871383455683507,0.00011204463117173723,3.666920338509784e-05,1.2695405000000002,0.0002358740741829472,0.00010428571428573135,58.84178967252864,-6705
2023-07-04 00:47:00+00:00,36,1.26995,1.27005,1.2699,1.27001,GBP_USD,M1,85.71428571428159,0.00016184243997074965,0.00012200419293153971,3.983824703920994e-05,1.2695845000000001,0.00023734219117800304,0.00010214285714286017,64.97861059808397,-6669
2023-07-04 00:48:00+00:00,28,1.27001,1.27001,1.26984,1.26984,GBP_USD,M1,69.89247311827648,0.0001567227725316478,0.00012894790885156134,2.7774863680086456e-05,1.2696175,0.00022362739199292825,0.00010857142857142612,69.7041064302232,-6697
2023-07-04 00:49:00+00:00,80,1.26981,1.26982,1.26966,1.26974,GBP_USD,M1,60.000000000004675,0.00014294841459494556,0.00013174801000023819,1.1200404594707375e-05,1.269641,0.00020943281783441256,0.00010785714285713574,70.68708969168834,-6777
2023-07-04 00:50:00+00:00,39,1.26974,1.26978,1.2697,1.26976,GBP_USD,M1,61.45833333333815,0.00013212293855224821,0.0001318229957106402,2.9994284160800126e-07,1.269667,0.00018823557448439615,0.00010857142857141027,71.03463611766757,-6738
2023-07-04 00:51:00+00:00,31,1.26974,1.26988,1.26974,1.26988,GBP_USD,M1,65.09433962263795,0.00013170841528720167,0.0001318000796259525,-9.166433875083661e-08,1.2696939999999999,0.00017727172103868582,0.0001099999999999752,70.19048027351054,-6707
2023-07-04 00:52:00+00:00,40,1.26986,1.26989,1.26979,1.26984,GBP_USD,M1,64.48598130841702,0.00012669181255486883,0.00013077842621173579,-4.086613656866954e-06,1.269719,0.0001590398822065764,0.00011142857142854012,68.53813394171762,-6747
2023-07-04 00:53:00+00:00,42,1.26984,1.26984,1.26966,1.26968,GBP_USD,M1,50.90909090908687,0.00010855411169563567,0.00012633356330851576,-1.777945161288009e-05,1.26973,0.00014736278158097347,0.00011428571428568584,64.95131128161783,-6789
2023-07-04 00:54:00+00:00,84,1.26965,1.26978,1.26962,1.26978,GBP_USD,M1,54.9999999999963,0.00010108378638773452,0.00012128360792435952,-2.0199821536624998e-05,1.2697455,0.00013430033085864808,0.00012357142857139753,61.06409323650361,-6705
2023-07-04 00:55:00+00:00,54,1.26977,1.26978,1.26966,1.26966,GBP_USD,M1,46.341463414636785,8.450636586010418e-05,0.00011392815951150845,-2.942179365140427e-05,1.269751,0.0001279761487861537,0.00012499999999996243,54.94127252351872,-6759
2023-07-04 00:56:00+00:00,52,1.26967,1.2697,1.26964,1.26964,GBP_USD,M1,45.967741935484014,6.895988122046504e-05,0.00010493450385329976,-3.597462263283473e-05,1.269756,0.00012106544522066988,0.00012785714285710816,48.70557458301575,-6811
2023-07-04 00:57:00+00:00,51,1.26965,1.26974,1.26964,1.26972,GBP_USD,M1,45.08196721310894,6.2375485776478e-05,9.642270023793542e-05,-3.404721446145742e-05,1.269764,0.00011240902719438204,0.00012714285714283364,42.51159897128739,-6760
2023-07-04 00:58:00+00:00,32,1.26974,1.26978,1.26972,1.26975,GBP_USD,M1,48.73949579831995,5.8899102043818985e-05,8.891798059911214e-05,-3.0018878555293155e-05,1.269775,9.816741835360067e-05,0.00012214285714281674,36.43826054500823,-6728
2023-07-04 00:59:00+00:00,45,1.26978,1.26978,1.26971,1.26975,GBP_USD,M1,46.49122807017031,5.550422473699079e-05,8.223522942668788e-05,-2.673100468969709e-05,1.2697794999999998,9.46169558902459e-05,0.00012142857142852634,30.826015647048738,-6773
2023-07-04 01:00:00+00:00,40,1.26975,1.26978,1.26966,1.26968,GBP_USD,M1,38.18181818180533,4.6627848217628554e-05,7.511375318487601e-05,-2.8485904967247457e-05,1.2697805,9.33851668872244e-05,0.00011928571428565515,26.8940428579337,-6813
2023-07-04 01:01:00+00:00,83,1.2697,1.26976,1.26966,1.26976,GBP_USD,M1,38.73873873872991,4.552381706157682e-05,6.919576596021618e-05,-2.3671948898639362e-05,1.269781,9.323992777447604e-05,0.0001157142857142349,23.908482436580666,-6730
2023-07-04 01:02:00+00:00,30,1.26976,1.26978,1.26975,1.26976,GBP_USD,M1,45.744680851057296,4.414004544850414e-05,6.418462185787378e-05,-2.0044576409369643e-05,1.269782,9.288362795402928e-05,0.00010571428571423283,21.4342621146486,-6760
2023-07-04 01:03:00+00:00,46,1.26974,1.26974,1.26958,1.26958,GBP_USD,M1,42.15686274508694,2.819389908004233e-05,5.69864773023075e-05,-2.879257822226517e-05,1.269769,0.00010207840085456614,0.0001057142857142487,21.916480318386707,-6806
2023-07-04 01:04:00+00:00,47,1.2696,1.26964,1.26954,1.26957,GBP_USD,M1,40.594059405940385,1.4581460767937315e-05,4.850547399543347e-05,-3.3924013227496154e-05,1.2697585,0.0001112737256787468,0.00010714285714284535,22.55350682606177,-6853
2023-07-04 01:05:00+00:00,63,1.26956,1.26956,1.26946,1.26949,GBP_USD,M1,29.896907216494142,-2.6314918788461483e-06,3.827808082057755e-05,-4.0909572699423696e-05,1.2697415,0.0001249115473374629,0.00010428571428571549,24.356703629260664,-6916
2023-07-04 01:06:00+00:00,50,1.2695,1.26954,1.26946,1.26952,GBP_USD,M1,33.33333333332561,-1.3694272535058616e-05,2.788361014945032e-05,-4.157788268450894e-05,1.2697205,0.00012508838948855036,0.0001028571428571347,26.297915507273462,-6866
2023-07-04 01:07:00+00:00,31,1.26954,1.26956,1.26948,1.26948,GBP_USD,M1,38.09523809523558,-2.5396516382114598e-05,1.7227584843137338e-05,-4.262410122525194e-05,1.2696939999999999,0.00011636602834857345,9.571428571427834e-05,28.866985588136174,-6897
2023-07-04 01:08:00+00:00,22,1.26946,1.2695,1.26946,1.26948,GBP_USD,M1,29.729729729724866,-3.4275522058369035e-05,6.926963462836064e-06,-4.12024855212051e-05,1.269676,0.0001203678569009378,8.714285714285706e-05,31.64849819317787,-6919
2023-07-04 01:09:00+00:00,40,1.26948,1.26948,1.26944,1.26948,GBP_USD,M1,35.483870967732685,-4.084140374738254e-05,-2.6267099792076574e-06,-3.8214693768174884e-05,1.269663,0.00012695212494377166,8.142857142858149e-05,35.239393670866356,-6959
2023-07-04 01:10:00+00:00,25,1.26948,1.2695,1.26944,1.26944,GBP_USD,M1,34.37499999998374,-4.8711067136109065e-05,-1.184358141058794e-05,-3.686748572552112e-05,1.2696470000000002,0.0001340502652250719,8.142857142859736e-05,38.45338640495512,-6984
2023-07-04 01:11:00+00:00,68,1.2694,1.26948,1.26936,1.26948,GBP_USD,M1,30.000000000003695,-5.1130762758200277e-05,-1.9701017680110407e-05,-3.142974507808987e-05,1.269627,0.000127117848044255,8.285714285716228e-05,42.84367246493379,-6916
2023-07-04 01:12:00+00:00,15,1.26946,1.26951,1.26944,1.26951,GBP_USD,M1,30.000000000003695,-5.0050686533076316e-05,-2.577095145070359e-05,-2.4279735082372727e-05,1.2696105,0.00011918473024345521,8.357142857145268e-05,47.27044317321185,-6901
2023-07-04 01:13:00+00:00,43,1.2695,1.26954,1.26948,1.26951,GBP_USD,M1,30.000000000003695,-4.863409477229297e-05,-3.0343580115021467e-05,-1.82905146572715e-05,1.2696020000000001,0.00012002631258518425,8.285714285716228e-05,51.11749923701039,-6944
2023-07-04 01:14:00+00:00,41,1.26952,1.2696,1.26948,1.2696,GBP_USD,M1,43.54838709678863,-3.979050755487101e-05,-3.2232965602991377e-05,-7.557541951879636e-06,1.269593,0.00011248859557295258,8.285714285717814e-05,51.7115266784862,-6903
2023-07-04 01:15:00+00:00,140,1.26956,1.26985,1.26955,1.2698,GBP_USD,M1,52.70270270270473,-1.6453902099033968e-05,-2.9077152902199894e-05,1.2623250803165926e-05,1.2696,0.00012091754444632969,9.714285714289086e-05,48.730334201497804,-6763
2023-07-04 01:16:00+00:00,54,1.26981,1.26994,1.26976,1.26994,GBP_USD,M1,60.22727272727416,1.3185363167966813e-05,-2.0624649688166554e-05,3.381001285613337e-05,1.269615,0.0001427732833882427,0.00010785714285718331,46.981413479365116,-6709
2023-07-04 01:17:00+00:00,49,1.26992,1.26998,1.26988,1.26997,GBP_USD,M1,76.71232876712662,3.864991158919473e-05,-8.769737432694297e-06,4.741964902188903e-05,1.2696275,0.00016208753296915294,0.00010357142857147268,47.3477138456688,-6660
2023-07-04 01:18:00+00:00,61,1.26997,1.27005,1.26997,1.27001,GBP_USD,M1,78.94736842104032,6.13511969722591e-05,5.254449448296384e-06,5.609674752396272e-05,1.2696405,0.00018167278255918552,0.00010214285714287603,48.29798892529935,-6599
2023-07-04 01:19:00+00:00,75,1.27001,1.27001,1.26993,1.26993,GBP_USD,M1,78.94736842104032,7.205617900174488e-05,1.8614795358986085e-05,5.3441383642758795e-05,1.2696495,0.00019157175356711607,0.0001007142857143111,47.7471112315641,-6674
2023-07-04 01:20:00+00:00,80,1.26988,1.26994,1.26984,1.26991,GBP_USD,M1,75.99999999999882,7.80266785520567e-05,3.049717199760021e-05,4.752950655445649e-05,1.269661,0.00020020778660495396,0.00010214285714289189,45.82643016844031,-6754
2023-07-04 01:21:00+00:00,65,1.26994,1.26998,1.2699,1.26996,GBP_USD,M1,81.5789473684195,8.58038314353049e-05,4.155850388514115e-05,4.424532755016375e-05,1.269671,0.00021016033960629792,0.00010214285714289189,45.00248995770896,-6689
2023-07-04 01:22:00+00:00,46,1.26995,1.27002,1.26995,1.27001,GBP_USD,M1,82.71604938271673,9.49078249319335e-05,5.2228368094499626e-05,4.267945683743388e-05,1.2696835,0.00022278795660094747,0.0001042857142857472,44.71304084473078,-6643
2023-07-04 01:23:00+00:00,60,1.27004,1.27015,1.27004,1.27014,GBP_USD,M1,85.1063829787229,0.00011132938308522355,6.404857109264441e-05,4.728081199257914e-05,1.2697115,0.00024333807958160913,0.00011142857142858771,44.97724516273754,-6583
2023-07-04 01:24:00+00:00,56,1.27014,1.27015,1.27006,1.27014,GBP_USD,M1,88.88888888889163,0.00012292656530688006,7.582416993549154e-05,4.7102395371388526e-05,1.26974,0.00025878257471104914,0.00011357142857142717,45.72052703809761,-6639
2023-07-04 01:25:00+00:00,28,1.27014,1.27016,1.27014,1.27014,GBP_USD,M1,88.37209302325822,0.00013061180419482454,8.678169678735814e-05,4.3830107407466404e-05,1.2697725,0.0002664360295000385,0.00010642857142857081,46.20815916188637,-6667
2023-07-04 01:26:00+00:00,39,1.27014,1.27014,1.26994,1.26995,GBP_USD,M1,71.56862745097506,0.00011998785398814604,9.342292822751573e-05,2.6564925760630317e-05,1.2697939999999999,0.0002623055669386939,0.00011571428571428248,44.17904476383774,-6706
2023-07-04 01:27:00+00:00,57,1.26994,1.26996,1.26983,1.26983,GBP_USD,M1,64.0350877193008,0.00010072421375229013,9.488318533247062e-05,5.841028419819504e-06,1.2698115,0.0002517156915930251,0.00012071428571428353,41.762304416066435,-6763
2023-07-04 01:28:00+00:00,66,1.26983,1.26983,1.26979,1.2698,GBP_USD,M1,59.2592592592585,8.209060144492852e-05,9.23246685549622e-05,-1.0234067110033673e-05,1.2698274999999999,0.0002394044143378725,0.00011499999999999209,40.15792500771236,-6829
2023-07-04 01:29:00+00:00,52,1.26982,1.26986,1.26975,1.26976,GBP_USD,M1,47.826086956519646,6.336522882288698e-05,8.653278060854715e-05,-2.3167551785660176e-05,1.2698415,0.00022581489840377256,0.00010142857142856978,40.747735399953,-6881
2023-07-04 01:30:00+00:00,100,1.26978,1.26978,1.26942,1.26944,GBP_USD,M1,27.272727272721767,2.244517644012234e-05,7.371525977486219e-05,-5.1270083334739854e-05,1.2698414999999998,0.00022581489840377256,0.00011428571428570169,43.18899873709813,-6981
2023-07-04 01:31:00+00:00,99,1.26944,1.26944,1.26934,1.26938,GBP_USD,M1,23.893805309732258,-1.4656803932977525e-05,5.604084703329425e-05,-7.069765096627178e-05,1.2698365,0.0002351544843269432,0.00011428571428568584,44.18881858937514,-7080
2023-07-04 01:32:00+00:00,105,1.26936,1.26942,1.26926,1.2694,GBP_USD,M1,22.522522522526657,-4.19628363745872e-05,3.644011035171797e-05,-7.840294672630517e-05,1.269831,0.0002443013667889194,0.00011999999999997726,45.16098704121516,-6975
2023-07-04 01:33:00+00:00,85,1.2694,1.2694,1.26924,1.26928,GBP_USD,M1,21.739130434785963,-7.245089214635847e-05,1.466190985210268e-05,-8.711280199846115e-05,1.2698195,0.000264763548779783,0.0001257142857142687,45.53204455512924,-7060
2023-07-04 01:34:00+00:00,84,1.26927,1.26927,1.26914,1.26914,GBP_USD,M1,19.68503937008026,-0.0001066799855042877,-9.606469219175395e-06,-9.70735162851123e-05,1.2697965,0.00030217239750750794,0.00012785714285712402,47.10875606321566,-7144
2023-07-04 01:35:00+00:00,78,1.26914,1.26924,1.26914,1.26924,GBP_USD,M1,22.727272727279612,-0.00012430471693281042,-3.25461187619024e-05,-9.175859817090801e-05,1.2697685,0.00032677491033794836,0.00012928571428568895,48.988020866208835,-7066
2023-07-04 01:36:00+00:00,63,1.26924,1.2694,1.26924,1.26934,GBP_USD,M1,25.547445255473875,-0.00012871948124937305,-5.178079125939653e-05,-7.693868998997652e-05,1.2697385,0.0003375651982646475,0.00013571428571427076,49.342111220297525,-7003
2023-07-04 01:37:00+00:00,79,1.26934,1.26934,1.26912,1.26912,GBP_USD,M1,15.068493150689932,-0.0001482613110557196,-7.107689521866115e-05,-7.718441583705846e-05,1.2696960000000002,0.0003596694387702999,0.00014142857142856218,50.429794739476115,-7082
2023-07-04 01:38:00+00:00,85,1.26912,1.26916,1.26904,1.26916,GBP_USD,M1,17.333333333340036,-0.00015869139069257798,-8.859979431344452e-05,-7.009159637913346e-05,1.2696535,0.0003706647654469638,0.00014357142857143339,51.68741789490618,-6997
2023-07-04 01:39:00+00:00,58,1.26915,1.26916,1.26908,1.26912,GBP_USD,M1,16.883116883123066,-0.00016824553980177015,-0.00010452894341110965,-6.37165963906605e-05,1.269613,0.00038291265999772814,0.00014785714285715988,52.02537916636977,-7055
2023-07-04 01:40:00+00:00,54,1.26912,1.26924,1.26912,1.26916,GBP_USD,M1,21.582733812959745,-0.00017062277298074413,-0.00011774770932503656,-5.2875063655707575e-05,1.2695755,0.0003889726684048803,0.00014214285714286845,53.58543497324422,-7001
2023-07-04 01:41:00+00:00,76,1.26914,1.26914,1.26904,1.26912,GBP_USD,M1,22.900763358786648,-0.00017373174173362926,-0.00012894451580675511,-4.478722592687415e-05,1.2695335,0.0003906172577213816,0.00014000000000001313,56.1243102393928,-7077
